Timestamp,ServerID,RackID,DataCentreZone,UserID,WorkType,user_session_duration_s,user_request_count,user_payload_size_mb,user_cpu_cores_used,user_gpu_memory_used_gb,user_ram_used_gb,user_disk_io_mbps,user_power_draw_w,user_cpu_contribution_pct,user_gpu_contribution_pct,user_heat_contribution_pct,inlet_temp_c,outlet_temp_c,hotspot_temp_c,cooling_capacity_pct,airflow_rate_cfm,ambient_temp_c,humidity_pct,rolling_avg_temp_15m_c,thermal_spike_label
2024-01-01 00:00:00,SRV-0103,RACK-046,Zone-A,USR-02560,stream,2270.5,780,18.7,14.57,8.85,4.21,63.5,263.7,11.383,11.062,5.274,25.04,40.9,55.28,78.4,2750.8,22.06,50.6,55.28,False
2024-01-01 00:26:00,SRV-0180,RACK-033,Zone-A,USR-00573,stream,2014.8,806,54.6,16.76,7.41,34.05,50.0,287.5,13.094,9.262,5.75,24.91,38.09,54.12,76.7,2502.2,24.49,53.5,54.7,False
2024-01-01 00:53:00,SRV-0093,RACK-049,Zone-D,USR-04464,data-pipeline,2551.2,39,430.3,26.9,5.91,171.73,631.5,412.8,21.016,7.387,8.256,23.46,34.53,45.3,87.0,2975.0,20.8,45.8,51.57,False
2024-01-01 01:19:00,SRV-0015,RACK-017,Zone-C,USR-02333,ETL,3480.7,53,234.4,33.34,0.0,124.94,1212.4,455.2,26.047,0.0,9.104,24.25,38.54,53.18,79.7,2764.0,23.28,49.1,51.97,False
2024-01-01 01:45:00,SRV-0107,RACK-046,Zone-B,USR-02111,stream,1540.2,813,155.7,36.78,8.64,41.35,130.5,467.0,28.734,10.8,9.34,23.92,38.83,53.4,77.1,2981.6,21.43,51.8,52.26,False
2024-01-01 02:12:00,SRV-0072,RACK-042,Zone-A,USR-04742,batch,4124.7,82,56.1,33.7,19.03,114.13,157.1,473.6,26.328,23.788,9.472,24.29,38.84,58.09,73.6,2729.4,24.22,58.4,52.82,False
2024-01-01 02:38:00,SRV-0189,RACK-030,Zone-A,USR-00751,ML-training,5089.4,11,50.0,45.87,43.22,232.66,240.1,795.3,35.836,54.025,15.906,25.37,42.87,67.32,69.5,2572.2,25.05,50.4,55.46,False
2024-01-01 03:04:00,SRV-0021,RACK-008,Zone-D,USR-02812,data-pipeline,4842.2,32,487.9,27.8,1.29,185.72,1452.7,410.2,21.719,1.612,8.204,23.96,35.42,53.33,79.3,2977.1,22.96,55.7,57.06,False
2024-01-01 03:31:00,SRV-0103,RACK-040,Zone-D,USR-04457,data-pipeline,5096.4,44,357.7,29.79,0.07,248.26,2369.4,420.9,23.273,0.088,8.418,25.01,40.0,47.45,93.6,3392.5,24.12,52.6,55.92,False
2024-01-01 03:57:00,SRV-0122,RACK-046,Zone-C,USR-03555,web,222.6,1912,4.13,13.41,3.05,7.21,45.6,145.7,10.477,3.812,2.914,24.54,33.98,44.77,90.8,3195.7,22.9,53.9,54.19,False
2024-01-01 04:24:00,SRV-0075,RACK-007,Zone-B,USR-02419,web,28.9,2008,3.39,21.11,0.0,0.5,20.9,262.4,16.492,0.0,5.248,26.42,41.42,53.89,71.2,2898.5,24.4,47.9,53.35,False
2024-01-01 04:50:00,SRV-0088,RACK-006,Zone-B,USR-02989,inference,189.2,5108,5.405,35.43,31.81,19.63,16.7,588.5,27.68,39.762,11.77,23.64,40.46,53.29,84.2,2969.8,24.25,52.9,50.55,False
2024-01-01 05:16:00,SRV-0117,RACK-004,Zone-D,USR-00855,stream,1450.2,796,60.5,32.85,18.58,14.87,160.2,482.0,25.664,23.225,9.64,23.86,36.36,61.97,75.5,2540.5,22.93,48.6,52.27,False
2024-01-01 05:43:00,SRV-0100,RACK-001,Zone-C,USR-02851,batch,2524.5,91,233.3,21.24,16.37,71.74,676.3,361.1,16.594,20.462,7.222,26.09,32.7,41.71,93.0,3182.9,20.32,52.8,51.13,False
2024-01-01 06:09:00,SRV-0104,RACK-015,Zone-A,USR-03380,ML-training,10196.2,16,81.8,38.4,67.96,231.92,64.4,854.1,30.0,84.95,17.082,23.51,45.61,73.5,59.0,2388.3,22.31,48.9,56.87,False
2024-01-01 06:35:00,SRV-0152,RACK-031,Zone-C,USR-00194,batch,3868.2,91,148.3,14.06,6.87,115.79,411.4,242.6,10.984,8.588,4.852,23.36,41.63,48.61,86.1,3175.7,24.03,53.0,55.82,False
2024-01-01 07:02:00,SRV-0131,RACK-025,Zone-B,USR-01578,analytics,2680.3,125,415.9,25.76,3.78,38.48,181.5,360.0,20.125,4.725,7.2,23.58,32.78,41.33,91.4,3018.5,24.84,48.1,53.42,False
2024-01-01 07:28:00,SRV-0150,RACK-047,Zone-D,USR-01481,stream,1529.6,823,7.3,35.45,7.53,52.02,104.5,443.8,27.695,9.412,8.876,23.34,44.38,61.88,74.7,2703.7,20.1,51.3,53.41,False
2024-01-01 07:54:00,SRV-0053,RACK-033,Zone-A,USR-04429,data-pipeline,6938.4,40,469.6,34.74,1.29,178.56,236.8,416.5,27.141,1.612,8.33,22.97,34.09,46.77,86.3,2779.6,25.53,49.0,54.42,False
